field;value
NMUN;Coruña, A
NMUN;Abanto y Ciérvana-Abanto Zierbena
NMUN;Adeje
NMUN;Alcalá de Guadaíra
NMUN;Alcalá de Henares
NMUN;Alcobendas
NMUN;Alcoi/Alcoy
NMUN;Alcorcón
NMUN;Alfàs del Pi, l'
NMUN;Algeciras
NMUN;Algemesí
NMUN;Aller
NMUN;Almendralejo
NMUN;Almería
NMUN;Almussafes
NMUN;Alzira
NMUN;Ames
NMUN;Aranda de Duero
NMUN;Arteixo
NMUN;Aspe
NMUN;Avilés
NMUN;Barakaldo
NMUN;Barcelona
NMUN;Benidorm
NMUN;Bilbao
NMUN;Burgos
NMUN;Cáceres
NMUN;Camargo
NMUN;Castelldefels
NMUN;Castelló de la Plana/Castellón de la Plana
NMUN;Castro-Urdiales
NMUN;Castropol
NMUN;Cerdanyola del Vallès
NMUN;Cieza
NMUN;Donostia/San Sebastián
NMUN;Dos Hermanas
NMUN;Eibar
NMUN;Ejea de los Caballeros
NMUN;Ermua
NMUN;Esplugues de Llobregat
NMUN;Etxebarri
NMUN;Gandia
NMUN;Gata de Gorgos
NMUN;Gavà
NMUN;Genalguacil
NMUN;Getafe
NMUN;Gijón
NMUN;Gotarrendura
NMUN;Granada
NMUN;Granollers
NMUN;Huelva
NMUN;Irun
NMUN;Almunia de Doña Godina, La
NMUN;Hospitalet de Llobregat, L'
NMUN;Rinconada, La
NMUN;Solana, La
NMUN;Vall d'Uixó, la
NMUN;Palmas de Gran Canaria, Las
NMUN;Rozas de Madrid, Las
NMUN;Logroño
NMUN;Lorquí
NMUN;Santos de Maimona, Los
NMUN;Lugo
NMUN;Madrid
NMUN;Málaga
NMUN;Manises
NMUN;Manresa
NMUN;Mataró
NMUN;Móstoles
NMUN;Mundaka
NMUN;Onda
NMUN;Ontinyent
NMUN;Orpesa/Oropesa del Mar
NMUN;Ortuella
NMUN;Paterna
NMUN;Pinto
NMUN;Ponferrada
NMUN;Puerto Real
NMUN;Reus
NMUN;Riba-roja de Túria
NMUN;Ribeira
NMUN;Rota
NMUN;Rubí
NMUN;Sabadell
NMUN;Sagunt/Sagunto
NMUN;Salinas
NMUN;San Fernando
NMUN;Sant Boi de Llobregat
NMUN;Sant Cugat del Vallès
NMUN;Sant Feliu de Llobregat
NMUN;Sant Joan Despí
NMUN;Santander
NMUN;Santander
NMUN;Santiago de Compostela
NMUN;Segovia
NMUN;Sestao
NMUN;Sevilla
NMUN;Terrassa
NMUN;Torrent
NMUN;Utrera
NMUN;València
NMUN;Valladolid
NMUN;Vigo
NMUN;Vila-real
NMUN;Viladecans
NMUN;Vilanova del Camí
NMUN;Villamayor
NMUN;Villarrobledo
NMUN;Villena
NMUN;Vinaròs
NMUN;Vitoria-Gasteiz
NMUN;Zaragoza
