field;value
NMUN;Abáigar
NMUN;Abárzuza/Abartzuza
NMUN;Abaurregaina/Abaurrea Alta
NMUN;Abaurrepea/Abaurrea Baja
NMUN;Aberin
NMUN;Aguilar de Codés
NMUN;Allín/Allin
NMUN;Allo
NMUN;Améscoa Baja
NMUN;Ancín/Antzin
NMUN;Andosilla
NMUN;Ansoáin/Antsoain
NMUN;Anue
NMUN;Aoiz/Agoitz
NMUN;Araitz
NMUN;Arakil
NMUN;Aranarache/Aranaratxe
NMUN;Aranguren
NMUN;Arano
NMUN;Arantza
NMUN;Aras
NMUN;Arce/Artzi
NMUN;Arellano
NMUN;Areso
NMUN;Arguedas
NMUN;Aria
NMUN;Aribe
NMUN;Armañanzas
NMUN;Arróniz
NMUN;Artajona
NMUN;Artazu
NMUN;Atetz
NMUN;Auritz/Burguete
NMUN;Ayegui/Aiegi
NMUN;Azuelo
NMUN;Barañáin/Barañain
NMUN;Barbarin
NMUN;Bargota
NMUN;Basaburua
NMUN;Baztan
NMUN;Beintza-Labaien
NMUN;Belascoáin
NMUN;Bera
NMUN;Berbinzana
NMUN;Beriáin
NMUN;Berriozar
NMUN;Bertizarana
NMUN;Betelu
NMUN;Bidaurreta
NMUN;Burgui/Burgi
NMUN;Cabanillas
NMUN;Cabredo
NMUN;Cárcar
NMUN;Cascante
NMUN;Castejón
NMUN;Cendea de Olza/Oltza Zendea
NMUN;Cintruénigo
NMUN;Cirauqui/Zirauki
NMUN;Ciriza/Ziritza
NMUN;Cizur
NMUN;Corella
NMUN;Cortes
NMUN;Desojo
NMUN;Dicastillo
NMUN;Donamaria
NMUN;Doneztebe/Santesteban
NMUN;Echarri/Etxarri
NMUN;Busto, El
NMUN;Elgorriaga
NMUN;Eratsun
NMUN;Erro
NMUN;Esparza de Salazar/Espartza Zaraitzu
NMUN;Espronceda
NMUN;Estella-Lizarra
NMUN;Esteribar
NMUN;Etayo
NMUN;Etxalar
NMUN;Etxauri
NMUN;Eulate
NMUN;Ezcároz/Ezkaroze
NMUN;Ezkurra
NMUN;Falces
NMUN;Funes
NMUN;Fustiñana
NMUN;Galar
NMUN;Gallués/Galoze
NMUN;Garaioa
NMUN;Genevilla
NMUN;Goizueta
NMUN;Güesa/Gorza
NMUN;Guesálaz/Gesalatz
NMUN;Hiriberri/Villanueva de Aezkoa
NMUN;Ibargoiti
NMUN;Igantzi
NMUN;Igúzquiza
NMUN;Imotz
NMUN;Ituren
NMUN;Izagaondoa
NMUN;Izalzu/Itzaltzu
NMUN;Jaurrieta
NMUN;Lana
NMUN;Lapoblación
NMUN;Larraga
NMUN;Larraona
NMUN;Larraun
NMUN;Lazagurría
NMUN;Legaria
NMUN;Leitza
NMUN;Lekunberri
NMUN;Lerín
NMUN;Lesaka
NMUN;Lezaun
NMUN;Lizoain-Arriasgoiti/Lizoainibar-Arriasgoiti
NMUN;Lodosa
NMUN;Lónguida/Longida
NMUN;Arcos, Los
NMUN;Luquin
NMUN;Luzaide/Valcarlos
NMUN;Mañeru
NMUN;Marañón
NMUN;Mendavia
NMUN;Mendaza
NMUN;Mendigorria
NMUN;Metauten
NMUN;Milagro
NMUN;Mirafuentes
NMUN;Miranda de Arga
NMUN;Monreal/Elo
NMUN;Morentin
NMUN;Mues
NMUN;Murieta
NMUN;Navascués/Nabaskoze
NMUN;Nazar
NMUN;Noáin (Valle de Elorz)/Noain (Elortzibar)
NMUN;Obanos
NMUN;Ochagavía/Otsagabia
NMUN;Oco
NMUN;Odieta
NMUN;Oiz
NMUN;Olejua
NMUN;Olite/Erriberri
NMUN;Orbaizeta
NMUN;Orbara
NMUN;Orkoien
NMUN;Oteiza
NMUN;Pamplona/Iruña
NMUN;Peralta/Azkoien
NMUN;Piedramillera
NMUN;Puente la Reina/Gares
NMUN;Ribaforada
NMUN;Saldías
NMUN;Salinas de Oro/Jaitz
NMUN;Sangüesa/Zangoza
NMUN;Sansol
NMUN;Sarriés/Sartze
NMUN;Sartaguda
NMUN;Sesma
NMUN;Sorlada
NMUN;Sunbilla
NMUN;Tafalla
NMUN;Torralba del Río
NMUN;Torres del Río
NMUN;Tudela
NMUN;Ultzama
NMUN;Unciti
NMUN;Urraul Alto
NMUN;Urraul Bajo
NMUN;Urroz
NMUN;Urroz-Villa
NMUN;Urzainqui/Urzainki
NMUN;Valle de Egüés/Eguesibar
NMUN;Valle de Yerri/Deierri
NMUN;Valtierra
NMUN;Viana
NMUN;Vidángoz/Bidankoze
NMUN;Villafranca
NMUN;Villamayor de Monjardín
NMUN;Villatuerta
NMUN;Villava/Atarrabia
NMUN;Zabalza/Zabaltza
NMUN;Zizur Mayor/Zizur Nagusia
NMUN;Zúñiga
